,URI,TrackName,ArtistURI,ArtistName,ArtistPopularity,ArtistGenres,Album,TrackPopularity,Explicit,ReleaseDate,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
27,spotify:track:0QkWikH5Z3U0f79T9iuF6c,Judas,spotify:artist:1HY2Jd0NmPuamShAr6KMms,Lady Gaga,83,"['art pop', 'dance pop', 'pop']",Born This Way,69,False,2011-01-01,0.661,0.937,10,-3.83,0,0.0744,0.000967,1.59e-05,0.355,0.535,131.001,audio_features,0QkWikH5Z3U0f79T9iuF6c,spotify:track:0QkWikH5Z3U0f79T9iuF6c,https://api.spotify.com/v1/tracks/0QkWikH5Z3U0f79T9iuF6c,https://api.spotify.com/v1/audio-analysis/0QkWikH5Z3U0f79T9iuF6c,249067,4
28,spotify:track:53Mz9H5UvWMQUXHZnaZYKQ,Babooshka,spotify:artist:1aSxMhuvixZ8h9dK9jIDwL,Kate Bush,67,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']",Never for Ever,60,False,1980-09-08,0.466,0.439,5,-8.892,0,0.0325,0.741,1.64e-05,0.0707,0.289,107.173,audio_features,53Mz9H5UvWMQUXHZnaZYKQ,spotify:track:53Mz9H5UvWMQUXHZnaZYKQ,https://api.spotify.com/v1/tracks/53Mz9H5UvWMQUXHZnaZYKQ,https://api.spotify.com/v1/audio-analysis/53Mz9H5UvWMQUXHZnaZYKQ,209933,4
29,spotify:track:748mdHapucXQri7IAO8yFK,Kiss Me More (feat. SZA),spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,89,"['dance pop', 'pop']",Kiss Me More (feat. SZA),78,True,2021-04-09,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,audio_features,748mdHapucXQri7IAO8yFK,spotify:track:748mdHapucXQri7IAO8yFK,https://api.spotify.com/v1/tracks/748mdHapucXQri7IAO8yFK,https://api.spotify.com/v1/audio-analysis/748mdHapucXQri7IAO8yFK,208867,4
30,spotify:track:3iw6V4LH7yPj1ESORX9RIN,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,spotify:artist:1PKErrAhYFdfrDymGHRQRo,Nathan Evans,62,[],Wellerman (Sea Shanty / 220 KID x Billen Ted Remix),71,False,2021-01-21,0.722,0.893,0,-3.255,0,0.0475,0.0441,0.000937,0.0673,0.439,119.932,audio_features,3iw6V4LH7yPj1ESORX9RIN,spotify:track:3iw6V4LH7yPj1ESORX9RIN,https://api.spotify.com/v1/tracks/3iw6V4LH7yPj1ESORX9RIN,https://api.spotify.com/v1/audio-analysis/3iw6V4LH7yPj1ESORX9RIN,116750,4
31,spotify:track:3Dzso9Q2WwupEclqgxBZht,Pumped Up Kicks,spotify:artist:5UUdxfBMwm0hLlLgnZtBFv,Madism,62,['tropical house'],Pumped Up Kicks,72,False,2020-08-21,0.669,0.687,0,-4.753,1,0.043,0.152,1.6e-05,0.308,0.386,123.903,audio_features,3Dzso9Q2WwupEclqgxBZht,spotify:track:3Dzso9Q2WwupEclqgxBZht,https://api.spotify.com/v1/tracks/3Dzso9Q2WwupEclqgxBZht,https://api.spotify.com/v1/audio-analysis/3Dzso9Q2WwupEclqgxBZht,145161,4
32,spotify:track:3JvKfv6T31zO0ini8iNItO,Another Love,spotify:artist:2txHhyCwHjUEpJjWrEyqyX,Tom Odell,75,"['chill pop', 'neo-singer-songwriter']",Long Way Down (Deluxe),90,True,2013-06-24,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,audio_features,3JvKfv6T31zO0ini8iNItO,spotify:track:3JvKfv6T31zO0ini8iNItO,https://api.spotify.com/v1/tracks/3JvKfv6T31zO0ini8iNItO,https://api.spotify.com/v1/audio-analysis/3JvKfv6T31zO0ini8iNItO,244360,4
33,spotify:track:1k1FZQT4Inhpf45QLWtsy3,Yup I'm Sad,spotify:artist:2Llq6G1MCodmFhz479JMwj,Sarah Almoril,15,[],Yup I'm Sad,27,False,2021-04-23,0.772,0.676,11,-4.978,1,0.0694,0.129,0.0,0.357,0.799,99.968,audio_features,1k1FZQT4Inhpf45QLWtsy3,spotify:track:1k1FZQT4Inhpf45QLWtsy3,https://api.spotify.com/v1/tracks/1k1FZQT4Inhpf45QLWtsy3,https://api.spotify.com/v1/audio-analysis/1k1FZQT4Inhpf45QLWtsy3,157500,4
34,spotify:track:6jg5SRvdGxvJ0DzNV0UqEK,Please Don't Go,spotify:artist:2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,68,"['dance pop', 'pop', 'pop dance', 'pop rap']",31 Minutes to Takeoff,67,False,2010-08-09,0.699,0.882,4,-3.896,0,0.0311,0.00296,0.0544,0.13,0.657,120.016,audio_features,6jg5SRvdGxvJ0DzNV0UqEK,spotify:track:6jg5SRvdGxvJ0DzNV0UqEK,https://api.spotify.com/v1/tracks/6jg5SRvdGxvJ0DzNV0UqEK,https://api.spotify.com/v1/audio-analysis/6jg5SRvdGxvJ0DzNV0UqEK,196813,4
35,spotify:track:3yXFcbGxFn2au5q3pShkAe,Me Too,spotify:artist:1gPhS1zisyXr5dHTYZyiMe,Kevin Gates,72,"['baton rouge rap', 'rap', 'southern hip hop', 'trap']",Luca Brasi 3,65,True,2018-09-28,0.726,0.605,7,-5.002,1,0.296,0.152,0.0,0.642,0.36,139.233,audio_features,3yXFcbGxFn2au5q3pShkAe,spotify:track:3yXFcbGxFn2au5q3pShkAe,https://api.spotify.com/v1/tracks/3yXFcbGxFn2au5q3pShkAe,https://api.spotify.com/v1/audio-analysis/3yXFcbGxFn2au5q3pShkAe,202301,4
36,spotify:track:0yQj6jvxjDYWkjZor9UezX,Time I Love To Waste,spotify:artist:5J8UACGRZtDb4WdOzo9YJN,MAY-A,51,['australian alternative pop'],Time I Love To Waste,32,False,2021-02-18,0.644,0.629,7,-5.088,0,0.0317,0.0193,2.54e-06,0.33,0.816,120.006,audio_features,0yQj6jvxjDYWkjZor9UezX,spotify:track:0yQj6jvxjDYWkjZor9UezX,https://api.spotify.com/v1/tracks/0yQj6jvxjDYWkjZor9UezX,https://api.spotify.com/v1/audio-analysis/0yQj6jvxjDYWkjZor9UezX,197488,4
37,spotify:track:0WNmMljbubSgfEipIeiPwC,Honey and Glass,spotify:artist:32w7UNqwdU7jRZSQpSaYdu,Peyton Cardoza,35,['alt z'],Honey and Glass,54,True,2020-07-26,0.449,0.384,10,-12.26,1,0.0477,0.816,0.016,0.285,0.406,95.652,audio_features,0WNmMljbubSgfEipIeiPwC,spotify:track:0WNmMljbubSgfEipIeiPwC,https://api.spotify.com/v1/tracks/0WNmMljbubSgfEipIeiPwC,https://api.spotify.com/v1/audio-analysis/0WNmMljbubSgfEipIeiPwC,116872,4
38,spotify:track:7FGIEAVXfegxngH9Jg6VwA,What A Shame,spotify:artist:6HpIVA13SPof8sYuXRUfxj,Leyla Blue,50,['alt z'],What A Shame,67,True,2020-12-09,0.699,0.463,0,-7.828,1,0.475,0.315,0.0,0.0803,0.565,143.99,audio_features,7FGIEAVXfegxngH9Jg6VwA,spotify:track:7FGIEAVXfegxngH9Jg6VwA,https://api.spotify.com/v1/tracks/7FGIEAVXfegxngH9Jg6VwA,https://api.spotify.com/v1/audio-analysis/7FGIEAVXfegxngH9Jg6VwA,177200,4
